id,player_id,games,pos,points,rebounds,assists,steals,blocks,turnovers,fg_percentage,three_point_percentage,free_throw_percentage,updated_at,minutes,case_name
44,66,1515,3,27.1,7.5,7.4,1.5,0.7,3.5,0.506,0.348,0.736,"2024-12-08 21:03:02",NULL,"LeBron James"
45,67,1346,2,25,5.2,4.7,1.4,0.5,3,0.447,0.329,0.837,"2024-12-08 21:03:02",NULL,"Kobe Bryant"
46,68,1072,2,30.1,6.2,5.3,2.3,0.8,2.7,0.497,0.327,0.835,"2024-12-07 22:07:56",NULL,"Michael Jordan"
48,69,1207,5,23.7,10.9,2.5,0.6,2.3,2.7,0.582,0.045,0.527,"2024-12-08 21:03:02",NULL,"Shaquille O'Neal"
49,72,861,1,25.1,4.2,6.7,1,0.3,2.8,0.438,0.371,0.898,"2024-12-07 22:07:56",NULL,"Damian Lillard"
51,83,507,1,10,4,5.8,1.2,0.3,2.2,0.448,0.287,0.623,"2024-12-08 19:33:12",NULL,"Elfrid Payton"
52,84,1343,3,19.7,5.6,3.5,1.3,0.6,2.6,0.445,0.368,0.806,"2024-12-08 02:18:37",NULL,"Paul Pierce"
53,85,762,2,10.8,2.9,1.8,0.4,0.2,1.1,0.45,0.386,0.825,"2024-12-08 19:33:12",NULL,"Arron Afflalo"
54,86,1123,1,13.9,2.2,3.4,0.8,0.2,1.7,0.419,0.351,0.842,"2024-12-08 19:33:12",NULL,"Lou Williams"
55,87,559,3,18.8,5.3,2.5,1,0.4,2.1,0.479,0.363,0.722,"2024-12-08 19:33:12",NULL,"Jaylen Brown"
56,88,536,3,23.3,7.2,3.6,1.1,0.7,2.3,0.46,0.375,0.841,"2024-12-08 19:33:12",NULL,"Jayson Tatum"
57,89,437,5,27.8,11.1,3.6,0.9,1.7,3.4,0.503,0.339,0.827,"2024-12-08 19:33:12",NULL,"Joel Embiid"
58,90,1226,5,17,9.2,3.2,0.5,1.6,2.2,0.507,0.368,0.753,"2024-12-08 21:03:02",NULL,"Pau Gasol"
59,91,891,5,14,7.4,3.4,0.9,1.4,2,0.481,0.36,0.776,"2024-12-08 19:33:12",NULL,"Marc Gasol"
60,92,1064,5,8.7,9.9,0.9,0.5,1.5,1.3,0.674,0.154,0.475,"2024-12-08 19:33:12",NULL,"DeAndre Jordan"
61,93,1129,2,21.3,4.4,4.1,1,0.3,2,0.469,0.296,0.841,"2024-12-08 19:33:12",NULL,"DeMar DeRozan"
62,94,654,5,19.6,10.2,3,1.3,1.1,3.3,0.46,0.331,0.737,"2024-12-08 19:33:12",NULL,"DeMarcus Cousins"
